Lon,Lat,OBJECTID,STATION,LINE,TERMINUS,ROUTE
-71.03040,42.34469,148,23 Dry Dock Ave,SILVER,N,SL2
-71.02806,42.34474,149,27 Dry Dock Ave,SILVER,N,SL2
-71.02633,42.34367,147,88 Black Falcon Ave,SILVER,N,SL2
-71.03023,42.37437,27,Airport,BLUE,N,Bowdoin to Wonderland
-71.02115,42.36473,140,Airport Terminal A,SILVER,N,SL1
-71.01854,42.36135,139,Airport Terminal B1,SILVER,N,SL1
-71.01837,42.36308,126,Airport Terminal B2,SILVER,N,SL1
-71.01783,42.36724,141,Airport Terminal C,SILVER,N,SL1
-71.02103,42.36965,142,Airport Terminal E,SILVER,Y,SL1
-71.14208,42.39613,34,Alewife,RED,Y,A - Ashmont  B - Braintree  C - Alewife
-71.13764,42.34858,88,Allston Street,GREEN,N,B - Boston College
-71.05698,42.33012,39,Andrew,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.05194,42.35953,25,Aquarium,BLUE,N,Bowdoin to Wonderland
-71.07099,42.35178,8,Arlington,GREEN,N,B C D E
-71.06343,42.28389,1,Ashmont,RED,Y,A - Ashmont  C - Alewife
-71.07713,42.39216,166,Assembly,ORANGE,N,Forest Hills to Oak Grove
-71.12172,42.35182,84,Babcock Street,GREEN,N,B - Boston College
-71.07511,42.34757,60,Back Bay,ORANGE,N,Forest Hills to Oak Grove
-71.11107,42.32965,75,Back Of The Hill,GREEN,N,E - Health Street
-70.99253,42.39726,31,Beachmont,BLUE,N,Bowdoin to Wonderland
-71.14026,42.33570,113,Beaconsfield,GREEN,N,D - Riverside
-71.03347,42.39541,69,Bellingham Sq,SILVER,N,SL3
-71.02722,42.34418,165,Black Falcon Ave,SILVER,N,SL2
-71.10006,42.34921,78,Blandford Street,GREEN,N,B - Boston College
-71.16703,42.34016,95,Boston College,GREEN,Y,B - Boston College
-71.10704,42.35005,80,Boston University Central,GREEN,N,B - Boston College
-71.10443,42.34973,79,Boston University East,GREEN,N,B - Boston College
-71.11351,42.35083,81,Boston University West,GREEN,N,B - Boston College
-71.06184,42.36117,23,Bowdoin,BLUE,Y,Bowdoin to Wonderland
-71.02847,42.39413,68,Box District,SILVER,N,SL3
-71.06460,42.35303,10,Boylston,GREEN,N,B C D E
-71.00170,42.20755,53,Braintree,RED,Y,B - Braintree  C - Alewife
-71.12866,42.34006,102,Brandon Hall,GREEN,N,C - Cleveland Circle
-71.10372,42.33458,66,Brigham Circle,GREEN,N,E - Health Street
-71.05717,42.34259,38,Broadway,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.12673,42.33130,112,Brookline Hills,GREEN,N,D - Riverside
-71.11683,42.33260,111,Brookline Village,GREEN,N,D - Riverside
-71.06247,42.27243,44,Butler,RED,N,Mattapan Trolley
-71.08721,42.26756,4,Capen Street,RED,N,Mattapan Trolley
-71.06032,42.27955,43,Cedar Grove,RED,N,Mattapan Trolley
-71.10383,42.36545,36,Central,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.07361,42.26999,46,Central Avenue,RED,N,Mattapan Trolley
-71.07108,42.36118,37,Charles/MGH,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.04039,42.39681,70,Chelsea,SILVER,Y,SL3
-71.16461,42.32675,115,Chestnut Hill,GREEN,N,D - Riverside
-71.15266,42.33859,93,Chestnut Hill Avenue,GREEN,N,B - Boston College
-71.06258,42.35248,11,Chinatown,ORANGE,N,Forest Hills to Oak Grove
-71.15095,42.34063,92,Chiswick Road,GREEN,N,B - Boston College
-71.14929,42.33615,96,Cleveland Circle,GREEN,Y,C - Cleveland Circle
-71.07034,42.37392,20,Community College,ORANGE,N,Forest Hills to Oak Grove
-71.12130,42.34216,104,Coolidge Corner,GREEN,N,C - Cleveland Circle
-71.07798,42.34992,9,Copley,GREEN,N,B C D E
-71.04689,42.35239,145,Courthouse,SILVER,N,SL1 SL2
-71.12223,42.39676,14,Davis,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.14196,42.33772,98,Dean Road,GREEN,N,C - Cleveland Circle
-71.03461,42.34459,127,Design Center,SILVER,N,SL2
-71.06051,42.35544,121,Downtown Crossing,ORANGE/RED,N,ORANGE Forest Hills to Oak Grove / RED A - Ashmont  B - Braintree  C - Alewife
-71.08372,42.32971,153,Dudley Square,SILVER,Y,SL4 SL5
-71.06620,42.34378,132,East Berkeley Street,SILVER,N,SL4 SL5
-71.02393,42.38847,67,Eastern Ave,SILVER,N,SL3
-71.21659,42.31899,118,Eliot,GREEN,N,D - Riverside
-71.14550,42.33699,97,Englewood Avenue,GREEN,N,C - Cleveland Circle
-71.13130,42.33965,101,Fairbanks Street,GREEN,N,C - Cleveland Circle
-71.10461,42.34517,109,Fenway Park,GREEN,N,D - Riverside
-71.10565,42.33375,72,Fenwood Road,GREEN,N,E - Health Street
-71.06192,42.30001,41,Fields Corner,RED,N,A - Ashmont  C - Alewife
-71.11419,42.30078,54,Forest Hills,ORANGE,Y,Forest Hills to Oak Grove
-71.05946,42.35931,24,Government Center,BLUE/GREEN,N,BLUE Bowdoin to Wonderland / GREEN B C D E
-71.10806,42.30991,55,Green Street,ORANGE,N,Forest Hills to Oak Grove
-71.13437,42.34883,87,Griggs Street,GREEN,N,B - Boston College
-71.03498,42.34657,138,Harbor St,SILVER,N,SL2
